리뷰 No.,제품 ID,제품명,닉네임,피부 타입,피부 고민,작성 시간,별점 (0/5),리뷰 내용,태그,평균 별점 (제품별),사진1(선택),사진1(선택),사진3(선택)
164,10,판테놀 베리어 토너,새침한고래605,건성,"탄력/주름, 민감성",2025.04.29,4,끈적임이 적어서 좋아요. 가볍게 발려요. 흡수가 빨라서 좋아요. 재구매 의사 있어요!,"끈적임 적음, 빠른 흡수, 수분감, 가벼움",4.21,,,
165,10,판테놀 베리어 토너,산뜻한병아리101,건성,보습,2025.12.10,5,'판테놀 베리어 토너' 사용 후기예요. 수분감이 오래가서 좋아요. 끈적임이 적어서 좋아요. 가격도 합리적이라 좋았어요.,"수분감, 쫀쫀함, 빠른 흡수, 끈적임 적음, 가벼움",4.21,,,
166,10,판테놀 베리어 토너,엉뚱발랄한코알라431,건성,"탄력/주름, 보습",2026.08.24,4,'판테놀 베리어 토너' 사용 후기예요. 끈적임이 적어서 좋아요. 수분감이 오래가서 좋아요. 재구매 의사 있어요!,"수분감, 쫀쫀함, 끈적임 적음",4.21,https://drive.google.com/file/d/1ukvznDgldgwbTxQSTD5C7LRIoztfEbZm/view?usp=sharing,https://drive.google.com/file/d/1ukvznDgldgwbTxQSTD5C7LRIoztfEbZm/view?usp=sharing,
167,10,판테놀 베리어 토너,평범한부엉이656,복합성,"보습, 미백/잡티, 여드름",2025.02.06,4,흡수가 빨라서 좋아요.,"가벼움, 빠른 흡수",4.21,,,
168,10,판테놀 베리어 토너,명랑한판다236,건성,"보습, 민감성",2025.09.17,5,끈적임이 적어서 좋아요. 수분감이 오래가서 좋아요. 추천하고 싶어요.,"수분감, 가벼움, 끈적임 적음, 쫀쫀함, 빠른 흡수",4.21,,,
169,10,판테놀 베리어 토너,엉뚱발랄한문어803,복합성,보습,2025.07.04,5,가볍게 발려요.,"쫀쫀함, 가벼움, 빠른 흡수, 수분감, 끈적임 적음",4.21,,,
170,10,판테놀 베리어 토너,말랑한벌새807,건성,탄력/주름,2026.09.09,4,쫀쫀한 텍스처가 마음에 들어요. 재구매는 고민중이에요.,"쫀쫀함, 수분감, 가벼움, 끈적임 적음",4.21,,,
171,10,판테놀 베리어 토너,대담한코알라792,건성,탄력/주름,2025.01.11,5,쫀쫀한 텍스처가 마음에 들어요. 가볍게 발려요.,"쫀쫀함, 가벼움",4.21,,,
172,10,판테놀 베리어 토너,부드러운두더지591,건성,"보습, 미백/잡티",2026.08.30,2,흡수가 빨라서 좋아요. 쫀쫀한 텍스처가 마음에 들어요. 기대만큼은 아니었어요.,"빠른 흡수, 쫀쫀함",4.21,,,
173,10,판테놀 베리어 토너,엉뚱한곰돌이831,복합성,"보습, 미백/잡티",2025.03.13,5,'판테놀 베리어 토너' 사용 후기예요. 끈적임이 적어서 좋아요. 수분감이 오래가서 좋아요. 가볍게 발려요. 추천하고 싶어요.,"가벼움, 수분감, 끈적임 적음",4.21,,,
174,10,판테놀 베리어 토너,행복한토끼792,건성,탄력/주름,2026.05.05,3,'판테놀 베리어 토너' 사용 후기예요. 가볍게 발려요. 수분감이 오래가서 좋아요. 나쁘지 않아요.,"수분감, 가벼움, 끈적임 적음, 쫀쫀함",4.21,https://drive.google.com/file/d/1Vt1GQNTjNaU-ohHe38oURJGq8yihh3Wz/view?usp=sharing,,
175,10,판테놀 베리어 토너,익명의여우750,복합성,"탄력/주름, 보습",2026.02.26,3,끈적임이 적어서 좋아요.,"수분감, 끈적임 적음, 쫀쫀함",4.21,https://drive.google.com/file/d/1mKACF91c_n8DB4KNStTreMRkHNtsw9sS/view?usp=sharing,,
176,10,판테놀 베리어 토너,사랑스런다람쥐636,건성,"보습, 미백/잡티",2026.05.03,4,'판테놀 베리어 토너' 사용 후기예요. 가볍게 발려요. 수분감이 오래가서 좋아요. 만족스러운 소비였어요.,"수분감, 가벼움",4.21,,,
177,10,판테놀 베리어 토너,씩씩한고래653,건성,민감성,2025.11.08,5,'판테놀 베리어 토너' 사용 후기예요. 가볍게 발려요. 수분감이 오래가서 좋아요. 추천하고 싶어요.,"쫀쫀함, 수분감, 가벼움",4.21,,,
178,10,판테놀 베리어 토너,용감한고양이880,복합성,미백/잡티,2025.07.29,4,끈적임이 적어서 좋아요. 흡수가 빨라서 좋아요. 재구매는 고민중이에요.,"빠른 흡수, 끈적임 적음",4.21,,,
179,10,판테놀 베리어 토너,반짝이는라쿤415,건성,탄력/주름,2025.12.11,4,쫀쫀한 텍스처가 마음에 들어요. 재구매는 고민중이에요.,"가벼움, 쫀쫀함",4.21,,,
180,10,판테놀 베리어 토너,부드러운토끼679,복합성,"미백/잡티, 민감성",2025.04.20,5,'판테놀 베리어 토너' 사용 후기예요. 가볍게 발려요. 다음에도 또 살 것 같아요.,"쫀쫀함, 수분감, 가벼움",4.21,,,
181,10,판테놀 베리어 토너,행복한강아지735,복합성,"민감성, 보습",2026.04.10,4,가볍게 발려요. 수분감이 오래가서 좋아요. 가격도 합리적이라 좋았어요.,"수분감, 쫀쫀함, 가벼움",4.21,,,
182,10,판테놀 베리어 토너,느긋한펭귄245,복합성,민감성,2025.06.26,5,'판테놀 베리어 토너' 사용 후기예요. 끈적임이 적어서 좋아요. 흡수가 빨라서 좋아요. 쫀쫀한 텍스처가 마음에 들어요. 다음에도 또 살 것 같아요.,"빠른 흡수, 쫀쫀함, 가벼움, 끈적임 적음, 수분감",4.21,https://drive.google.com/file/d/1DAdk2IIV-Vr9HsuSxFFLrYMGEfS60CT_/view?usp=sharing,,
183,10,판테놀 베리어 토너,느긋한하마980,건성,"보습, 탄력/주름, 미백/잡티",2026.01.02,4,'판테놀 베리어 토너' 사용 후기예요. 수분감이 오래가서 좋아요. 끈적임이 적어서 좋아요. 흡수가 빨라서 좋아요.,"수분감, 끈적임 적음, 빠른 흡수",4.21,,,
184,10,판테놀 베리어 토너,소심한라쿤322,복합성,"민감성, 탄력/주름, 보습",2025.09.17,3,'판테놀 베리어 토너' 사용 후기예요. 수분감이 오래가서 좋아요. 재구매는 고민중이에요.,"수분감, 가벼움, 끈적임 적음",4.21,,,
185,10,판테놀 베리어 토너,명랑한토끼240,복합성,민감성,2026.08.11,5,'판테놀 베리어 토너' 사용 후기예요. 수분감이 오래가서 좋아요. 가볍게 발려요. 재구매 의사 있어요!,"가벼움, 빠른 흡수, 쫀쫀함, 수분감, 끈적임 적음",4.21,,,
186,10,판테놀 베리어 토너,잠많은코알라71,복합성,미백/잡티,2025.05.14,5,'판테놀 베리어 토너' 사용 후기예요. 흡수가 빨라서 좋아요. 끈적임이 적어서 좋아요. 만족스러운 소비였어요.,"빠른 흡수, 끈적임 적음",4.21,,,
187,10,판테놀 베리어 토너,새침한고양이909,건성,"미백/잡티, 탄력/주름, 여드름",2025.04.13,0,'판테놀 베리어 토너' 사용 후기예요. 쫀쫀한 텍스처가 마음에 들어요. 끈적임이 적어서 좋아요.,"쫀쫀함, 끈적임 적음",4.21,,,
188,10,판테놀 베리어 토너,몽글몽글한앵무새932,복합성,"탄력/주름, 보습",2025.01.21,5,'판테놀 베리어 토너' 사용 후기예요. 가볍게 발려요. 흡수가 빨라서 좋아요.,"빠른 흡수, 가벼움, 쫀쫀함, 끈적임 적음, 수분감",4.21,,,
189,10,판테놀 베리어 토너,든든한알파카644,건성,"탄력/주름, 보습, 미백/잡티",2026.02.13,5,'판테놀 베리어 토너' 사용 후기예요. 가볍게 발려요. 끈적임이 적어서 좋아요. 흡수가 빨라서 좋아요. 다음에도 또 살 것 같아요.,"빠른 흡수, 끈적임 적음, 수분감, 가벼움, 쫀쫀함",4.21,,,
190,10,판테놀 베리어 토너,자유로운고양이73,복합성,"보습, 미백/잡티, 피지/블랙헤드",2026.07.16,5,'판테놀 베리어 토너' 사용 후기예요. 끈적임이 적어서 좋아요. 흡수가 빨라서 좋아요. 가볍게 발려요. 가격도 합리적이라 좋았어요.,"쫀쫀함, 빠른 흡수, 가벼움, 끈적임 적음, 수분감",4.21,,,
191,10,판테놀 베리어 토너,익명의벌새223,건성,"탄력/주름, 보습",2025.03.11,5,흡수가 빨라서 좋아요. 가볍게 발려요. 만족스러운 소비였어요.,"끈적임 적음, 수분감, 빠른 흡수, 가벼움",4.21,,,
192,11,나인 토너,대담한해달132,지성,민감성,2025.04.14,5,수분감이 오래가서 좋아요. 저자극이라 편하게 쓸 수 있었어요. 재구매 의사 있어요!,"빠른 흡수, 수분감, 저자극, 끈적임 적음",4.3,,,
193,11,나인 토너,말랑한기린133,지성,민감성,2026.08.05,5,저자극이라 편하게 쓸 수 있었어요. 재구매 의사 있어요!,"저자극, 빠른 흡수, 가벼움, 수분감",4.3,,,
194,11,나인 토너,용감한고래73,지성,"민감성, 보습",2026.03.16,4,가볍게 발려요. 재구매 의사 있어요!,"끈적임 적음, 수분감, 가벼움",4.3,,,
195,11,나인 토너,활발한곰돌이416,복합성,"보습, 민감성",2025.02.23,5,'나인 토너' 사용 후기예요. 끈적임이 적어서 좋아요. 수분감이 오래가서 좋아요. 가볍게 발려요. 다음에도 또 살 것 같아요.,"수분감, 가벼움, 빠른 흡수, 끈적임 적음, 저자극",4.3,,,
196,11,나인 토너,몽글몽글한판다673,복합성,민감성,2025.01.02,5,'나인 토너' 사용 후기예요. 끈적임이 적어서 좋아요.,"저자극, 가벼움, 끈적임 적음, 수분감",4.3,https://drive.google.com/file/d/1A6moq1vGL22CeFVW0CNwnIAN8bVi8q1N/view?usp=sharing,https://drive.google.com/file/d/1dtzNv-7uAi8cTrO-EJ02I5HJmn4vr6Gb/view?usp=sharing,
197,11,나인 토너,반짝이는다람쥐25,복합성,"보습, 민감성",2025.06.27,4,가볍게 발려요. 흡수가 빨라서 좋아요. 저자극이라 편하게 쓸 수 있었어요. 가격도 합리적이라 좋았어요.,"가벼움, 빠른 흡수, 수분감, 저자극, 끈적임 적음",4.3,,,
198,11,나인 토너,명랑한다람쥐168,복합성,"민감성, 보습",2025.01.27,2,'나인 토너' 사용 후기예요. 끈적임이 적어서 좋아요. 수분감이 오래가서 좋아요. 가볍게 발려요. 기대만큼은 아니었어요.,"빠른 흡수, 가벼움, 끈적임 적음, 수분감",4.3,,,
199,11,나인 토너,산뜻한하마337,복합성,"민감성, 보습",2026.08.11,5,'나인 토너' 사용 후기예요. 저자극이라 편하게 쓸 수 있었어요. 추천하고 싶어요.,"가벼움, 저자극, 수분감, 빠른 흡수, 끈적임 적음",4.3,,,
200,11,나인 토너,사랑스런고양이371,지성,"보습, 미백/잡티",2026.04.09,5,'나인 토너' 사용 후기예요. 수분감이 오래가서 좋아요. 저자극이라 편하게 쓸 수 있었어요. 끈적임이 적어서 좋아요. 다음에도 또 살 것 같아요.,"저자극, 수분감, 끈적임 적음",4.3,,,
201,11,나인 토너,소심한앵무새283,지성,"보습, 민감성",2025.01.10,4,흡수가 빨라서 좋아요. 끈적임이 적어서 좋아요. 가격도 합리적이라 좋았어요.,"끈적임 적음, 빠른 흡수",4.3,,,
202,11,나인 토너,말랑한오리861,복합성,없음,2025.01.11,5,'나인 토너' 사용 후기예요. 가볍게 발려요. 추천하고 싶어요.,"가벼움, 저자극",4.3,,,
203,11,나인 토너,명랑한사자749,지성,보습,2026.01.04,4,흡수가 빨라서 좋아요. 가볍게 발려요. 가격도 합리적이라 좋았어요.,"가벼움, 빠른 흡수",4.3,https://drive.google.com/file/d/1FpZweAEVdvQijtDyCUFRCSlYkAJDV-l2/view?usp=sharing,,
204,11,나인 토너,평범한알파카671,복합성,"민감성, 보습",2026.05.27,5,'나인 토너' 사용 후기예요. 수분감이 오래가서 좋아요. 재구매 의사 있어요!,"가벼움, 끈적임 적음, 빠른 흡수, 수분감",4.3,,,
205,11,나인 토너,귀여운강아지522,지성,"민감성, 보습",2026.01.21,5,흡수가 빨라서 좋아요. 끈적임이 적어서 좋아요. 다음에도 또 살 것 같아요.,"저자극, 끈적임 적음, 빠른 흡수",4.3,,,
206,11,나인 토너,엉뚱발랄한알파카105,복합성,보습,2025.01.13,5,'나인 토너' 사용 후기예요. 흡수가 빨라서 좋아요. 추천하고 싶어요.,"수분감, 저자극, 가벼움, 끈적임 적음, 빠른 흡수",4.3,,,
207,11,나인 토너,상냥한강아지754,복합성,"민감성, 보습",2025.04.19,3,끈적임이 적어서 좋아요. 흡수가 빨라서 좋아요. 재구매는 고민중이에요.,"빠른 흡수, 끈적임 적음, 가벼움, 수분감",4.3,,,
208,11,나인 토너,행복한부엉이612,지성,민감성,2026.06.13,5,수분감이 오래가서 좋아요. 가격도 합리적이라 좋았어요.,"끈적임 적음, 수분감, 가벼움, 빠른 흡수",4.3,,,
209,11,나인 토너,말랑한거북이393,복합성,"민감성, 보습",2025.04.09,5,'나인 토너' 사용 후기예요. 끈적임이 적어서 좋아요. 재구매 의사 있어요!,"저자극, 가벼움, 끈적임 적음",4.3,,,
210,11,나인 토너,자유로운토끼668,지성,보습,2026.02.05,4,'나인 토너' 사용 후기예요. 가볍게 발려요.,"빠른 흡수, 저자극, 가벼움, 수분감, 끈적임 적음",4.3,https://drive.google.com/file/d/12k93s9vJTX-DNXLO8K94u38nEEghhUaX/view?usp=sharing,,
211,11,나인 토너,잠많은오리426,지성,민감성,2025.10.15,5,'나인 토너' 사용 후기예요. 가볍게 발려요. 추천하고 싶어요.,"저자극, 가벼움, 빠른 흡수, 끈적임 적음",4.3,,,
212,11,나인 토너,엉뚱한코알라52,지성,민감성,2026.08.20,5,'나인 토너' 사용 후기예요. 수분감이 오래가서 좋아요. 끈적임이 적어서 좋아요. 가볍게 발려요.,"가벼움, 끈적임 적음, 수분감",4.3,,,
213,11,나인 토너,활발한판다237,복합성,"보습, 미백/잡티",2025.02.15,4,'나인 토너' 사용 후기예요. 수분감이 오래가서 좋아요. 가볍게 발려요. 가격도 합리적이라 좋았어요.,"가벼움, 끈적임 적음, 수분감, 빠른 흡수",4.3,,,
214,11,나인 토너,사랑스런곰돌이563,복합성,민감성,2026.03.25,5,끈적임이 적어서 좋아요. 저자극이라 편하게 쓸 수 있었어요.,"저자극, 끈적임 적음",4.3,,,
215,11,나인 토너,대담한코알라49,지성,민감성,2026.08.22,4,'나인 토너' 사용 후기예요. 수분감이 오래가서 좋아요. 흡수가 빨라서 좋아요. 가격도 합리적이라 좋았어요.,"저자극, 빠른 흡수, 가벼움, 끈적임 적음, 수분감",4.3,,,
216,11,나인 토너,사랑스런고양이661,복합성,"민감성, 보습",2026.06.22,3,'나인 토너' 사용 후기예요. 가볍게 발려요. 수분감이 오래가서 좋아요. 끈적임이 적어서 좋아요.,"수분감, 빠른 흡수, 가벼움, 끈적임 적음, 저자극",4.3,,,
217,11,나인 토너,말랑한토끼53,복합성,"보습, 민감성",2026.07.26,3,'나인 토너' 사용 후기예요. 끈적임이 적어서 좋아요. 흡수가 빨라서 좋아요.,"끈적임 적음, 빠른 흡수, 저자극",4.3,,,
218,11,나인 토너,귀여운두더지68,지성,보습,2025.09.24,4,'나인 토너' 사용 후기예요. 저자극이라 편하게 쓸 수 있었어요. 수분감이 오래가서 좋아요. 끈적임이 적어서 좋아요.,"끈적임 적음, 가벼움, 저자극, 수분감",4.3,,,
219,11,나인 토너,용감한곰돌이797,지성,"민감성, 보습",2026.08.30,3,'나인 토너' 사용 후기예요. 저자극이라 편하게 쓸 수 있었어요. 그냥 무난하게 쓰고 있어요.,"수분감, 빠른 흡수, 저자극, 끈적임 적음",4.3,,,
220,11,나인 토너,엉뚱한고양이819,지성,"민감성, 보습",2025.06.18,4,'나인 토너' 사용 후기예요. 수분감이 오래가서 좋아요. 가격도 합리적이라 좋았어요.,"끈적임 적음, 수분감",4.3,,,
221,11,나인 토너,상냥한판다195,복합성,"민감성, 보습, 피지/블랙헤드",2026.09.03,4,'나인 토너' 사용 후기예요. 끈적임이 적어서 좋아요. 저자극이라 편하게 쓸 수 있었어요. 재구매는 고민중이에요.,"저자극, 끈적임 적음, 가벼움",4.3,,,
222,13,세라마이드 쌀 그리미 밀크 토너,배부른해달95,건성,탄력/주름,2025.12.11,5,수분감이 오래가서 좋아요. 향이 거의 없어서 부담 없어요. 발림성이 정말 좋아요. 만족스러운 소비였어요.,"빠른 흡수, 무향, 수분감, 발림성",4.37,,,
223,13,세라마이드 쌀 그리미 밀크 토너,익명의얼룩말171,건성,"탄력/주름, 미백/잡티, 보습",2025.09.26,5,향이 거의 없어서 부담 없어요. 발림성이 정말 좋아요. 흡수가 빨라서 좋아요. 재구매 의사 있어요!,"무향, 발림성, 빠른 흡수, 수분감",4.37,https://drive.google.com/file/d/1Xyf2vNSOeLWT04ZDlfRcm2CxKYIuK7NU/view?usp=sharing,,
224,13,세라마이드 쌀 그리미 밀크 토너,명랑한라쿤453,건성,"보습, 탄력/주름, 미백/잡티",2025.03.02,4,'세라마이드 쌀 그리미 밀크 토너' 사용 후기예요. 발림성이 정말 좋아요. 만족스러운 소비였어요.,"빠른 흡수, 발림성, 수분감, 무향",4.37,,,
225,13,세라마이드 쌀 그리미 밀크 토너,몽글몽글한토끼17,건성,"보습, 미백/잡티, 탄력/주름",2026.02.05,3,'세라마이드 쌀 그리미 밀크 토너' 사용 후기예요. 발림성이 정말 좋아요. 향이 거의 없어서 부담 없어요.,"수분감, 발림성, 무향",4.37,,,
226,13,세라마이드 쌀 그리미 밀크 토너,조용한얼룩말917,건성,보습,2026.06.27,2,흡수가 빨라서 좋아요. 발림성이 정말 좋아요. 수분감이 오래가서 좋아요.,"발림성, 수분감, 빠른 흡수, 무향",4.37,,,
227,13,세라마이드 쌀 그리미 밀크 토너,부지런한고양이277,건성,미백/잡티,2025.11.22,5,발림성이 정말 좋아요. 수분감이 오래가서 좋아요. 향이 거의 없어서 부담 없어요. 추천하고 싶어요.,"무향, 빠른 흡수, 발림성, 수분감",4.37,,,
228,13,세라마이드 쌀 그리미 밀크 토너,말랑한라쿤763,건성,"미백/잡티, 탄력/주름, 보습",2026.01.11,5,'세라마이드 쌀 그리미 밀크 토너' 사용 후기예요. 발림성이 정말 좋아요. 향이 거의 없어서 부담 없어요. 수분감이 오래가서 좋아요.,"수분감, 무향, 발림성",4.37,,,
229,13,세라마이드 쌀 그리미 밀크 토너,든든한두더지949,건성,"미백/잡티, 보습",2025.02.06,3,'세라마이드 쌀 그리미 밀크 토너' 사용 후기예요. 향이 거의 없어서 부담 없어요. 발림성이 정말 좋아요. 수분감이 오래가서 좋아요. 나쁘지 않아요.,"무향, 수분감, 발림성, 빠른 흡수",4.37,,,
230,13,세라마이드 쌀 그리미 밀크 토너,엉뚱한앵무새243,건성,보습,2025.03.19,5,발림성이 정말 좋아요.,"무향, 발림성",4.37,,,
231,13,세라마이드 쌀 그리미 밀크 토너,느긋한알파카228,건성,"탄력/주름, 미백/잡티, 보습",2025.09.19,5,발림성이 정말 좋아요. 수분감이 오래가서 좋아요. 흡수가 빨라서 좋아요. 가격도 합리적이라 좋았어요.,"수분감, 발림성, 빠른 흡수",4.37,,,
232,13,세라마이드 쌀 그리미 밀크 토너,조용한라쿤242,건성,"보습, 미백/잡티",2025.08.11,5,'세라마이드 쌀 그리미 밀크 토너' 사용 후기예요. 향이 거의 없어서 부담 없어요. 발림성이 정말 좋아요. 가격도 합리적이라 좋았어요.,"무향, 발림성",4.37,,,
233,13,세라마이드 쌀 그리미 밀크 토너,명랑한사자905,건성,"탄력/주름, 보습, 미백/잡티",2025.10.17,2,향이 거의 없어서 부담 없어요. 발림성이 정말 좋아요. 재구매는 안 할 것 같아요.,"무향, 발림성, 빠른 흡수",4.37,https://drive.google.com/file/d/1z_4ZbSKzG2bcUJ2fUcCGomYka9VTsprz/view?usp=sharing,https://drive.google.com/file/d/12T_qi8M_zqHlcFzwpLS6NxC8cxLZbGrX/view?usp=sharing,
234,13,세라마이드 쌀 그리미 밀크 토너,느긋한고슴도치714,건성,"미백/잡티, 보습",2025.09.02,5,향이 거의 없어서 부담 없어요. 재구매 의사 있어요!,"무향, 수분감, 빠른 흡수, 발림성",4.37,,,
235,13,세라마이드 쌀 그리미 밀크 토너,잠많은물개913,건성,"탄력/주름, 보습",2025.08.27,5,'세라마이드 쌀 그리미 밀크 토너' 사용 후기예요. 흡수가 빨라서 좋아요. 향이 거의 없어서 부담 없어요. 가격도 합리적이라 좋았어요.,"발림성, 무향, 수분감, 빠른 흡수",4.37,,,
236,13,세라마이드 쌀 그리미 밀크 토너,소심한고슴도치599,건성,"탄력/주름, 보습",2025.10.26,4,'세라마이드 쌀 그리미 밀크 토너' 사용 후기예요. 향이 거의 없어서 부담 없어요. 흡수가 빨라서 좋아요. 수분감이 오래가서 좋아요. 만족스러운 소비였어요.,"발림성, 빠른 흡수, 수분감, 무향",4.37,,,
237,13,세라마이드 쌀 그리미 밀크 토너,상큼한다람쥐621,건성,"미백/잡티, 보습",2025.01.02,5,'세라마이드 쌀 그리미 밀크 토너' 사용 후기예요. 발림성이 정말 좋아요. 흡수가 빨라서 좋아요. 추천하고 싶어요.,"발림성, 빠른 흡수, 무향, 수분감",4.37,,,
238,13,세라마이드 쌀 그리미 밀크 토너,부드러운기린815,건성,"보습, 탄력/주름",2025.04.09,5,'세라마이드 쌀 그리미 밀크 토너' 사용 후기예요. 발림성이 정말 좋아요. 만족스러운 소비였어요.,"발림성, 빠른 흡수, 무향, 수분감",4.37,,,
239,13,세라마이드 쌀 그리미 밀크 토너,익명의코알라301,건성,보습,2026.06.10,5,'세라마이드 쌀 그리미 밀크 토너' 사용 후기예요. 흡수가 빨라서 좋아요. 향이 거의 없어서 부담 없어요. 수분감이 오래가서 좋아요.,"빠른 흡수, 발림성, 수분감, 무향",4.37,,,
240,13,세라마이드 쌀 그리미 밀크 토너,활발한하마293,건성,없음,2026.09.14,5,'세라마이드 쌀 그리미 밀크 토너' 사용 후기예요. 발림성이 정말 좋아요. 수분감이 오래가서 좋아요.,"수분감, 발림성",4.37,,,
241,13,세라마이드 쌀 그리미 밀크 토너,조용한부엉이173,건성,"미백/잡티, 보습",2026.04.23,3,'세라마이드 쌀 그리미 밀크 토너' 사용 후기예요. 발림성이 정말 좋아요. 향이 거의 없어서 부담 없어요. 흡수가 빨라서 좋아요. 나쁘지 않아요.,"수분감, 무향, 빠른 흡수, 발림성",4.37,,,
242,13,세라마이드 쌀 그리미 밀크 토너,든든한강아지47,건성,없음,2026.09.06,5,'세라마이드 쌀 그리미 밀크 토너' 사용 후기예요. 수분감이 오래가서 좋아요. 발림성이 정말 좋아요. 추천하고 싶어요.,"무향, 발림성, 빠른 흡수, 수분감",4.37,,,
243,13,세라마이드 쌀 그리미 밀크 토너,산뜻한펭귄571,건성,없음,2026.03.10,4,발림성이 정말 좋아요. 흡수가 빨라서 좋아요. 수분감이 오래가서 좋아요. 가격도 합리적이라 좋았어요.,"빠른 흡수, 발림성, 무향, 수분감",4.37,,,
244,13,세라마이드 쌀 그리미 밀크 토너,자유로운거북이904,건성,미백/잡티,2026.05.17,5,'세라마이드 쌀 그리미 밀크 토너' 사용 후기예요. 향이 거의 없어서 부담 없어요. 수분감이 오래가서 좋아요. 발림성이 정말 좋아요.,"빠른 흡수, 발림성, 수분감, 무향",4.37,https://drive.google.com/file/d/1g012Q59jMgf553LM7ee8aRXhvweqEOQX/view?usp=sharing,,
245,13,세라마이드 쌀 그리미 밀크 토너,대담한해달4,건성,"미백/잡티, 탄력/주름",2025.05.03,4,흡수가 빨라서 좋아요. 재구매 의사 있어요!,"수분감, 발림성, 빠른 흡수, 무향",4.37,,,
246,13,세라마이드 쌀 그리미 밀크 토너,말랑한고양이768,건성,"미백/잡티, 보습",2025.06.21,5,발림성이 정말 좋아요. 흡수가 빨라서 좋아요. 향이 거의 없어서 부담 없어요. 다음에도 또 살 것 같아요.,"발림성, 빠른 흡수, 무향, 수분감",4.37,,,
247,13,세라마이드 쌀 그리미 밀크 토너,엉뚱한해달714,건성,미백/잡티,2025.07.06,5,수분감이 오래가서 좋아요. 가격도 합리적이라 좋았어요.,"수분감, 발림성",4.37,,,
248,13,세라마이드 쌀 그리미 밀크 토너,평범한기린555,건성,탄력/주름,2026.04.07,4,흡수가 빨라서 좋아요.,"수분감, 빠른 흡수, 발림성",4.37,https://drive.google.com/file/d/1xkFf2LRMPHPZDxnwIuFNGfxHJfbuvCNp/view?usp=sharing,,
249,14,어성초 진정해 수분 토너,든든한토끼592,지성,"보습, 민감성, 피지/블랙헤드",2026.07.09,5,저자극이라 편하게 쓸 수 있었어요. 향이 거의 없어서 부담 없어요. 만족스러운 소비였어요.,"무향, 저자극",4.62,,,
250,14,어성초 진정해 수분 토너,대담한수달665,지성,"여드름, 민감성",2025.12.30,5,향이 거의 없어서 부담 없어요. 가볍게 발려요.,"빠른 흡수, 저자극, 가벼움, 무향",4.62,,,
251,14,어성초 진정해 수분 토너,느긋한코알라256,복합성,보습,2025.06.04,5,'어성초 진정해 수분 토너' 사용 후기예요. 가볍게 발려요. 흡수가 빨라서 좋아요. 가격도 합리적이라 좋았어요.,"저자극, 빠른 흡수, 가벼움",4.62,,,
252,14,어성초 진정해 수분 토너,자유로운라쿤945,지성,"민감성, 보습",2025.01.04,5,가볍게 발려요. 저자극이라 편하게 쓸 수 있었어요. 산뜻하게 발려서 좋아요. 다음에도 또 살 것 같아요.,"산뜻함, 가벼움, 저자극",4.62,,,
253,14,어성초 진정해 수분 토너,든든한다람쥐336,지성,"여드름, 보습",2026.03.11,5,저자극이라 편하게 쓸 수 있었어요.,"가벼움, 산뜻함, 저자극",4.62,,,
254,14,어성초 진정해 수분 토너,산뜻한앵무새919,지성,"여드름, 민감성, 보습",2025.03.30,5,산뜻하게 발려서 좋아요. 흡수가 빨라서 좋아요. 향이 거의 없어서 부담 없어요.,"산뜻함, 빠른 흡수, 무향",4.62,https://drive.google.com/file/d/1HcNLYC8aDUzOKOEZgav_bh__-tcxJeo_/view?usp=sharing,https://drive.google.com/file/d/1X2S7l9l0S2izVzwyIZbLDgYahuHxdCtT/view?usp=sharing,
255,14,어성초 진정해 수분 토너,배부른문어634,지성,"민감성, 여드름",2026.08.08,5,저자극이라 편하게 쓸 수 있었어요. 산뜻하게 발려서 좋아요. 다음에도 또 살 것 같아요.,"저자극, 산뜻함",4.62,,,
256,14,어성초 진정해 수분 토너,사랑스런병아리490,지성,"보습, 여드름",2025.11.29,4,산뜻하게 발려서 좋아요. 만족스러운 소비였어요.,"가벼움, 산뜻함, 빠른 흡수",4.62,,,
257,14,어성초 진정해 수분 토너,느긋한코알라483,복합성,"민감성, 보습, 여드름",2026.06.12,5,'어성초 진정해 수분 토너' 사용 후기예요. 산뜻하게 발려서 좋아요. 저자극이라 편하게 쓸 수 있었어요. 추천하고 싶어요.,"빠른 흡수, 저자극, 산뜻함",4.62,,,
258,14,어성초 진정해 수분 토너,산뜻한나비288,지성,"여드름, 보습",2026.05.22,5,향이 거의 없어서 부담 없어요. 가볍게 발려요. 추천하고 싶어요.,"가벼움, 무향",4.62,,,
259,14,어성초 진정해 수분 토너,용감한병아리618,지성,보습,2025.06.19,4,향이 거의 없어서 부담 없어요. 저자극이라 편하게 쓸 수 있었어요. 재구매 의사 있어요!,"무향, 저자극",4.62,,,
260,14,어성초 진정해 수분 토너,새침한사자305,지성,"민감성, 여드름, 보습",2025.08.10,5,'어성초 진정해 수분 토너' 사용 후기예요. 저자극이라 편하게 쓸 수 있었어요. 향이 거의 없어서 부담 없어요. 흡수가 빨라서 좋아요. 다음에도 또 살 것 같아요.,"저자극, 빠른 흡수, 무향",4.62,,,
261,14,어성초 진정해 수분 토너,사랑스런물개259,지성,보습,2025.12.15,4,가볍게 발려요. 저자극이라 편하게 쓸 수 있었어요. 가격도 합리적이라 좋았어요.,"산뜻함, 가벼움, 저자극, 무향",4.62,,,
