제품 ID,제품명,가격(원),브랜드명,제품 카테고리,용량,나이대 추천순,피부 타입 적합도,주의 타입,피부 고민,사용감 태그,제품 특징 태그,전성분,주요 성분,출처,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,나인 토너,"19,300",닥터트웬티프로젝트,토너,300,"20대(100), 10대(75), 30대(50), 40대 이상(25)","수부지(적극 추천), 지성(추천), 복합성(추천), 중성(추천), 건성(조건부 추천)",건성(1),"보습(3), 민감성(3)","수분감, 빠른 흡수, 가벼움, 끈적임 적음, 산뜻함","데일리 케어, 메이크업 전 사용, 대용량, 향료 무첨가, 에탄올 무첨가, 실리콘 무첨가, 파라벤 무첨가","정제수, 글리세린, 2,3-부탄다이올, 판테놀, 다이프로필렌글라이콜, 1,2-헥산다이올, 하이드록시아세토페논, 에리스리돌, 베타인, 트레할로오스, 알란토인, 에틸헥실글리세린, 소듐하이알루로네이트, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 알지닌, 다이소듐이디티에이, 쑥잎추출물, 부틸렌글라이콜, 포타슘하이알루로네이트, 하이드롤라이즈드소듐하이알루로네이트, 로즈마리잎추출물, 자작나무수액, 트루로즈오브예리코추출물, 하이드롤라이즈드하이알루로닉애씨드, 하이알루로닉애씨드","판테놀, 베타인, 트레할로오스, 알란토인, 복합 히알루론산, 쑥잎추출물",https://dr20project.com/product/나인-토너-300ml/175/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,하이드라 셀 부스팅 토너,"14,200",이플미,토너,400,"20대(100), 30대(75), 10대(50), 40대 이상(25)","수부지(적극 추천), 지성(추천), 복합성(추천), 중성(추천), 건성(조건부 추천)",건성(1),"보습(2), 미백/잡티(2)","수분감, 빠른 흡수, 가벼움, 끈적임 적음, 산뜻함","미백, 데일리 케어, 메이크업 전 사용, 대용량, 향료 무첨가, 에탄올 무첨가, 실리콘 무첨가, 파라벤 무첨가","정제수, 부틸렌글라이콜, 글리세린, 1,2-헥산다이올, 하이드록시아세토페논, 알란토인, 카보머, 알지닌, 다이소듐이디티에이, 녹차추출물, 소듐하이알루로네이트, 나이아신아마이드, 하이알루로닉애씨드, 하이드롤라이즈드소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 하이드롤라이즈드클라이코사미노글리칸, 리보플라빈, 폴릭애씨드, 판테놀, 매나다이온, 소듐하이알루로네이트크로스폴리머, 소듐아세틸레이티드하이알루로네이트, 다이메틸실란올하이알루로네이트, 하이드록시프로필트라이모늄하이알루로네이트, 바이오틴, 사이아노코발아민, 아스코빅애씨드, 티아민에이치씨엘, 피리독신, 바이오플라보노이드","복합 히알루론산, 알란토인, 녹차추출물, 판테놀, 나이아신아마이드",https://www.hwahae.co.kr/goods/71966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,세라마이드 쌀 그리미 밀크 토너,"18,400",인요에,토너,200,"30대(100), 40대 이상(75), 20대(50), 10대(25)","건성(적극 추천), 중성(추천), 복합성(추천), 수부지(조건부 추천), 지성(주의)","지성(3), 수부지(1)","보습(3), 미백/잡티(2), 탄력/주름(1), 민감성(3)","수분감, 촉촉함, 빠른 흡수, 발림성, 윤광, 무향","미백, 주름개선, 데일리 케어, 메이크업 전 사용, 향료 무첨가, 에탄올 무첨가, 파라벤 무첨가","정제수, 부틸렌글라이콜, 프로판다이올, 글리세린, 나이아신아마이드, 2,3-부탄다이올, 1,2-헥산다이올, 스핑고모나스발효추출물, 백미꽃추출물, 접시꽃추출물, 소이밀크(500ppb), 쌀추출물(300ppb), 다이프로필렌글라이콜, 트라이에틸헥사노인, 다이페닐다이메티콘, 글리세레스-26, 메틸글루세스-20, 펜틸렌글라이콜, 폴리글리세릴-10미리스테이트, 폴리아크릴레이트크로스폴리머-6, 하이드록시아세토페논, C12-14 알케스-12, 하이드롤라이즈드스클레로튬검, 카프릴릭/카프릭트라이글리세라이드, 하이드로제네이티드레시틴, 베타-글루칸, 에틸헥실글리세린, 징크락테이트, 아데노신, 스테아릭애씨드, 판테놀, 세라마이드엔피(55.5ppm), 콜레스테롤, 피토스핑고신, 세라마이드엔지(750ppb), 세라마이드엔에스(750ppb), 세라마이드에이피(500ppb), 세라마이드에이에스(500ppb), 토코페롤, 세라마이드이오피(1ppb), 세테아릴알코올, 다이소듐이디티에이","6종 세라마이드, 나이아신아마이드, 베타글루칸, 판테놀, 콜레스테롤, 피토스핑고신, 쌀추출물, 소이밀크",https://inyoe.co.kr/product/인요에-세라마이드-쌀-그리미-밀크-토너-200ml/11/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,어성초 진정해 수분 토너,"8,900",프리메이,토너,350,"10대(100), 20대(75), 30대(50), 40대 이상(25)","지성(적극 추천), 수부지(적극 추천), 복합성(추천), 중성(조건부 추천), 건성(주의)","건성(3), 중성(1)","보습(1), 여드름(3)","빠른 흡수, 가벼움, 산뜻함, 수분감, 끈적임 적음","데일리 케어, 메이크업 전 사용, 대용량, 에탄올 무첨가, 실리콘 무첨가, 파라벤 무첨가","정제수, 약모밀추출물, 부틸렌글라이콜, 다이프로필렌글라이콜, 프로판다이올, 1,2-헥산다이올, 글리세린, 하이드록시아세토페논, 에틸헥실글리세린, 카프릴릴글라이콜, 폴리글리세릴-10라우레이트, 폴리글리세릴-4라우레이트, 카보머, 알란토인, 다이포타슘글리시리제이트, 소듐파이테이트, 소듐하이알루로네이트, 병풀잎추출물, 알지닌, 살비아오일, 마데카소사이드, 제올라이트, 루이보스잎추출물, 마조람잎추출물, 서양측백나무잎추출물, 티트리잎추출물, 로즈마리잎추출물, 병풀추출물, 살비아잎추출물, 타임추출물, 레몬밤잎추출물, 히솝추출물, 티트리추출물, 작약뿌리추출물, 녹차추출물","약모밀추출물, 병풀추출물, 마데카소사이드, 알란토인, 다이포타슘글리시리제이트, 티트리추출물, 글리세린",https://www.i-beautyleader.com/shop/item.php?it_id=8809800462757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,플로라 글로우 로즈 리퀴드 마스크,"19,500",마몽드,토너,80,"30대(100), 20대(75), 40대 이상(50), 10대(25)","건성(적극 추천), 중성(추천), 복합성(추천), 수부지(조건부 추천), 지성(조건부 추천)","지성(1), 수부지(2)","보습(2), 모공(2), 피지/블랙헤드(2)","쫀쫀함, 빠른 흡수, 윤광, 매끈한 피부결, 수분감, 광채","파라벤 무첨가, 실리콘 무첨가, 에탄올 무첨가, 메이크업 전 사용, 데일리 케어","정제수, 부틸렌글라이콜, 글루코노락톤, 글리세린, 다이프로필렌글라이콜, 프로판다이올, 트로메타민, 판테놀, 1,2-헥산다이올, 피피지-13-데실테트라데세스-24, 폴리솔베이트80, 에틸헥실글리세린, 소듐메타포스페이트, 덱스트린, 카카오추출물, 다마스크장미꽃추출물, 소듐하이알루로네이트, 하이알루로닉애씨드, 하이드롤라이즈드식물성단백질, 프로필렌글라이콜, 토코페롤, 하이드롤라이즈드하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 소듐아세틸레이티드하이알루로네이트","글루코노락톤(PHA), 다마스크장미꽃추출물, 복합 히알루론산, 판테놀",https://www.amoremall.com/kr/ko/product/detail?onlineProdCode=110650001161&onlineProdSn=60774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,리얼 히알루로닉 100 토너,"26,600",웰라쥬,토너,200,"20대(100), 30대(75), 40대 이상(50), 10대(25)","건성(적극 추천), 수부지(적극 추천), 지성(추천), 중성(추천), 복합성(추천)","건성(1), 수부지(1)",보습(3),"수분감, 빠른 흡수, 가벼움, 끈적임 적음, 산뜻함","인공향 무첨가, 합성색소 무첨가, 파라벤 무첨가, 에탄올 무첨가, 대용량, 데일리 케어, 메이크업 전 사용","하이드롤라이즈드하이알루로닉애씨드, 글리세린, 프로판다이올, 하이드로제네이티드레시틴, 소듐하이알루로네이트, 1,2-헥산다이올, 알지닌, 벤질글라이콜, 베타인, 부틸렌글라이콜, 카프릴릴/카프릭트라이글리세라이드, 시트릭애씨드, 다이메틸실란올하이알루로네이트, 다이소듐이디티에이, 에틸헥실글리세린, 글라이신, 히스티딘, 하이알루로닉애씨드, 하이드롤라이즈드글라이코사미노글리칸, 하이드롤라이즈드소듐하이알루로네이트, 하이드록시프로필트라이모늄하이알루로네이트, 라이소레시틴, 포타슘하이알루로네이트, 세린, 소듐아세틸레이티드하이알루로네이트, 소듐시트레이트, 소듐하이알루로네이트크로스폴리머, 소듐하이알루로네이트다이메틸실란올, 소듐피씨에이, 소듐스테아로일글루타메이트, 수크로오스라우레이트, 토코페롤, 정제수, 잔탄검","초저분자 히알수 93%, 복합 히알루론산, 글리세린, 베타인, 소듐피씨에이, 아미노산",https://wellage.co.kr/product/리얼-히알루로닉-100-토너-200ml/1468/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,레드 블레미쉬 10-시카 캡슐 수딩 토너,"32,500",닥터지,토너,300,"20대(100), 10대(75), 30대(50), 40대 이상(25)","지성(적극 추천), 수부지(적극 추천), 복합성(추천), 중성(조건부 추천), 건성(주의)","건성(3), 중성(1)","보습(3), 여드름(2), 미백/잡티(2), 탄력/주름(1)","빠른 흡수, 수분감, 끈적임 적음, 알갱이, 캡슐, 쿨링감, 산뜻함","미백, 주름개선, 대용량, 파라벤 무첨가, 실리콘 무첨가, 데일리 케어","정제수, 편백수, 프로판다이올, 부틸렌글라이콜, 글리세린, 1,2-헥산다이올, 나이아신아마이드, 에리스리톨, 펜틸렌글라이콜, 스트렙토코쿠스테르모필루스발효물, 효모발효여과물, 옥수수전분, 사과즙, 백미꽃추출물, 병풀잎추출물, 비피다발효여과물, 락토바실러스발효물, 병풀꽃/잎/줄기추출물, 병풀뿌리추출물, 접시꽃추출물, 페퍼민트잎수, 병풀추출물, 판테놀, 젤란검, 알란토인, 베타인, 하이드록시아세토페논, 칼슘클로라이드, 소듐클로라이드, 아데노신, 데하이드로잔탄검, 만델릭애씨드, 트레할로오스, 셀룰로오스검, 소듐시트레이트, 메틸다이아이소프로필프로피온아마이드, 세라마이드엔피, 솔비톨, 스테아릭애씨드, 하이드로제네이티드레시틴, 실리카, 에틸헥실글리세린, 다발방패버섯추출물, 베타-글루칸, 마데카소사이드, 아시아티코사이드, 마데카식애씨드, 아시아틱애씨드","복합 병풀 성분, 판테놀, 알란토인, 세라마이드엔피, 나이아신아마이드, 만델릭애씨드, 베타글루칸",https://www.musinsa.com/products/6189724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,다이브인 저분자 히알루론산 스킨부스터,"14,900",토리든,토너,200,"30대(100), 20대(75), 40대 이상(50), 10대(25)","건성(적극 추천), 수부지(적극 추천), 복합성(추천), 중성(추천), 지성(조건부 추천)","건성(1), 지성(2), 수부지(1)",보습(3),"수분감, 빠른 흡수, 발림성, 끈적임 적음, 촉촉함","인공향 무첨가, 합성색소 무첨가, 파라벤 무첨가, 실리콘 무첨가, 에탄올 무첨가, 데일리 케어","정제수, 부틸렌글라이콜, 글리세린, 1,2-헥산다이올, 카프릴릭/카프릭트라이글리세라이드, 말라카이트추출물, 세라마이드엔피, 피토스핑고신, 알란토인, 판테놀, 소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 하이드롤라이즈드소듐하이알루로네이트, 트레할로오스, 버지니아풍년화잎추출물, 캐모마일꽃추출물, 글리세레스-26, 펜틸렌글라이콜, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, 피브이엠/엠에이코폴리머, C14-22알코올, C12-20알킬글루코사이드, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 잔탄검, 트로메타민, 다이소듐이디티에이, 에틸헥실글리세린, 황금추출물, 모란뿌리추출물","복합 히알루론산, 세라마이드엔피, 판테놀, 알란토인, 피토스핑고신, 트레할로오스",https://www.torriden.com/goods/goods_view.php?goodsNo=59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,녹두 모공 클리어링 라하 토너,"24,000",비플레인,토너,265,"20대(100), 10대(75), 30대(50), 40대 이상(25)","지성(적극 추천), 수부지(추천), 복합성(추천), 중성(조건부 추천), 건성(주의)","건성(3), 중성(1)","보습(2), 여드름(3), 모공(3), 피지/블랙헤드(3)","가벼움, 산뜻함, 쿨링감, 수분감, 빠른 흡수, 끈적임 적음","인공향 무첨가, 합성색소 무첨가, 파라벤 무첨가, 실리콘 무첨가, 에탄올 무첨가, 향료 무첨가, 인체 적용 시험 완료, 피부 자극 테스트 완료, 데일리 케어","정제수, 글리세린, 부틸렌글라이콜, 1,2-헥산다이올, 솔비톨, 하이드록시아세토페논, 프로판다이올, 글리세레스-25피씨에이아이소스테아레이트, 에틸헥실글리세린, 소듐시트레이트, 시트릭애씨드, 다이소듐이디티에이, 메틸다이아이소프로필프로피온아마이드, 녹두추출물, 잔탄검, 하이알루로닉애씨드, 하이드롤라이즈드하이알루로닉애씨드, 소듐하이알루로네이트, 카프릴로일살리실릭애씨드, 글루코노락톤, 녹두씨추출물, 글루코오스, 사과추출물, 밤껍질추출물, 감나무잎추출물, 파파인, 유채싹추출물, 브루셀스프라우트추출물, 해바라기싹추출물, 녹두싹추출물, 밀싹추출물, 아세틸헥사펩타이드-8, 카퍼트라이펩타이드-1, 다이펩타이드다이아미노부티로일벤질아마이드다이아세테이트, 헥사펩타이드-9, 노나펩타이드-1, 팔미토일헥사펩타이드-12, 팔미토일펜타펩타이드-4, 팔미토일테트라펩타이드-7, 팔미토일트라이펩타이드-1, 팔미토일트라이펩타이드-5, 펜타펩타이드-3, 트라이펩타이드-1","녹두추출물, 카프릴로일살리실릭애씨드(LHA), 글루코노락톤(PHA), 파파인, 복합 히알루론산",https://beplain.co.kr/shop/shopdetail.html?branduid=10739052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,어성초 카밍 토너 스킨 부스터,"16,100",아비브,토너,200,"20대(100), 10대(75), 30대(50), 40대 이상(25)","지성(적극 추천), 수부지(적극 추천), 복합성(추천), 중성(추천), 건성(조건부 추천)",건성(1),"보습(3), 여드름(2), 민감성(3)","수분감, 빠른 흡수, 가벼움, 산뜻함, 촉촉함","향료 무첨가, 합성색소 무첨가, 파라벤 무첨가, 실리콘 무첨가, 에탄올 무첨가, 피부 자극 테스트 완료, 인체 적용 시험 완료, 데일리 케어","정제수, 글리세린, 부틸렌글라이콜, 펜틸렌글라이콜, 베타인, 1,2-헥산다이올, 자일리톨, 약모밀추출물, 판테놀, 에틸헥실글리세린, 소듐하이알루로네이트, 비피다발효용해물, 돌콩추출물, 다이소듐이디티에이, 하이드롤라이즈드하이알루로닉애씨드, 잔탄검, 옥탄다이올, 병풀추출물, 토코페롤, 인동덩굴꽃추출물, 황금추출물, 바이오사카라이드검-4, 파스향나무잎추출물","약모밀추출물, 병풀추출물, 복합 히알루론산, 판테놀, 베타인, 비피다발효용해물",https://abib.com/product/detail.html?product_no=133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,비피다 바이옴 앰플 토너,"17,500",마녀공장,토너,400,"30대(100), 40대 이상(75), 20대(50), 10대(25)","건성(적극 추천), 수부지(적극 추천), 중성(추천), 복합성(추천), 지성(조건부 추천)",지성(2),보습(3),"촉촉함, 산뜻함, 수분감, 빠른 흡수, 끈적임 적음","향료 무첨가, 에탄올 무첨가, 실리콘 무첨가, 파라벤 무첨가, 약산성, 대용량, 데일리 케어","정제수, 부틸렌글라이콜, 글리세린, 프로판다이올, 펜틸렌글라이콜, 1,2-헥산다이올, 아이리쉬모스추출물, 사탕수수추출물, 베타인, 판테놀, 에틸헥실글리세린, 카프릴릭/카프릭트라이글리세라이드, 클로렐라 불가리스추출물, 다이소듐이디티에이, 글루코오스, 잔탄검, 하이드로제네이티드레시틴, 프룩토올리고사카라이드, 프룩토오스, 비피다발효용해물(38ppm), 세라마이드엔피, 버지니아풍년화수, 토코페롤, 알란토인, 락토바실러스/호박발효추출물, 락토바이오닉애씨드, 소듐하이알루로네이트크로스폴리머, 자일리틸글루코사이드, 안하이드로자일리톨, 하이드롤라이즈드글라이코사미노글리칸, 소듐하이알루로네이트, 쿠티박테리움 그라눌로숨발효추출여과물(10ppb), 자일리톨, 벤질글라이콜, 비피다발효여과물(2ppb), 락토바실러스발효용해물, 락토코쿠스발효용해물, 효모발효여과물, 하이드롤라이즈드하이알루로닉애씨드, 하이알루로닉애씨드, 흰버드나무껍질추출물","비피다발효용해물, 5종 프로바이오틱스, 복합 히알루론산, 판테놀, 베타인, 세라마이드엔피, 알란토인",https://www.manyo.co.kr/goods/goods_view.php?goodsNo=1326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
